"contract_year","department","entries_above_25k","entries_below_25k"
"2018","Administrative Tribunals Support Service of Canada","57","46"
"2018","Agriculture and Agri-Food Canada","662","1189"
"2018","Atlantic Canada Opportunities Agency","30","47"
"2018","Canada Border Services Agency","389","315"
"2018","Canada Economic Development for Quebec Regions","16","27"
"2018","Canada Energy Regulator","66","79"
"2018","Canada Revenue Agency","394","202"
"2018","Canada School of Public Service","34","63"
"2018","Canadian Centre for Occupational Health and Safety","1","3"
"2018","Canadian Food Inspection Agency","260","223"
"2018","Canadian Grain Commission","44","68"
"2018","Canadian Heritage","154","274"
"2018","Canadian Human Rights Commission","13","35"
"2018","Canadian Institutes of Health Research","47","65"
"2018","Canadian Intergovernmental Conference Secretariat","4","17"
"2018","Canadian Northern Economic Development Agency","5","6"
"2018","Canadian Nuclear Safety Commission","68","77"
"2018","Canadian Radio-television and Telecommunications Commission","3","3"
"2018","Canadian Space Agency","134","140"
"2018","Canadian Transportation Agency","21","34"
"2018","Civilian Review and Complaints Commission for the RCMP","9","27"
"2018","Correctional Service of Canada","1819","2066"
"2018","Courts Administration Service","102","92"
"2018","Crown-Indigenous Relations and Northern Affairs Canada","228","263"
"2018","Department of Finance Canada","45","59"
"2018","Department of Housing, Infrastructure and Communities","38","51"
"2018","Department of Justice Canada","173","208"
"2018","Elections Canada","149","120"
"2018","Employment and Social Development Canada","555","342"
"2018","Environment and Climate Change Canada","459","1338"
"2018","Farm Products Council of Canada","0","2"
"2018","Federal Economic Development Agency for Southern Ontario","12","18"
"2018","Financial Consumer Agency of Canada","41","38"
"2018","Financial Transactions and Reports Analysis Centre of Canada","18","14"
"2018","Fisheries and Oceans Canada","2845","2993"
"2018","Global Affairs Canada","1292","2459"
"2018","Health Canada","627","825"
"2018","Immigration and Refugee Board of Canada","8","27"
"2018","Immigration, Refugees and Citizenship Canada","508","146"
"2018","Impact Assessment Agency of Canada","13","22"
"2018","Indigenous Services Canada","129","199"
"2018","Innovation, Science and Economic Development Canada","492","741"
"2018","International Joint Commission","12","26"
"2018","Invest in Canada","3","1"
"2018","Library and Archives Canada","57","93"
"2018","Military Grievances External Review Committee","2","16"
"2018","Military Police Complaints Commission of Canada","4","9"
"2018","National Defence","9124","8764"
"2018","National Film Board","69","103"
"2018","National Research Council Canada","787","1578"
