"department","year","solicitation_procedure","total_spending","total_contracts"
"Canadian Nuclear Safety Commission",2020,"ST","2149276.14","21"
"Canadian Nuclear Safety Commission",2020,"TC","1536423.39","19"
"Canadian Nuclear Safety Commission",2020,"AC","602432.39","10"
"Canadian Nuclear Safety Commission",2021,"OB","4938119.95","77"
"Canadian Nuclear Safety Commission",2021,"ST","4651301.73","33"
"Canadian Nuclear Safety Commission",2021,"TN","4531625.69","169"
"Canadian Nuclear Safety Commission",2021,"AC","1008783.62","16"
"Canadian Nuclear Safety Commission",2021,"TC","727452.77","17"
"Canadian Nuclear Safety Commission",2022,"TN","5393303.48","189"
"Canadian Nuclear Safety Commission",2022,"ST","4632745.04","27"
"Canadian Nuclear Safety Commission",2022,"OB","3432396.55","57"
"Canadian Nuclear Safety Commission",2022,"AC","937836.89","7"
"Canadian Nuclear Safety Commission",2022,"TC","381668.91","15"
"Canadian Nuclear Safety Commission",2023,"ST","5302819.20","38"
"Canadian Nuclear Safety Commission",2023,"TN","4554461.13","165"
"Canadian Nuclear Safety Commission",2023,"OB","3406428.19","62"
"Canadian Nuclear Safety Commission",2023,"AC","885856.89","5"
"Canadian Nuclear Safety Commission",2023,"TC","462041.99","13"
"Canadian Nuclear Safety Commission",2024,"ST","5172581.15","37"
"Canadian Nuclear Safety Commission",2024,"TN","4987475.92","155"
"Canadian Nuclear Safety Commission",2024,"OB","4746885.42","76"
"Canadian Nuclear Safety Commission",2024,"AC","1295461.36","4"
"Canadian Nuclear Safety Commission",2024,"TC","325960.62","9"
"Canadian Nuclear Safety Commission",2025,"TN","5196281.55","155"
"Canadian Nuclear Safety Commission",2025,"ST","5086889.38","41"
"Canadian Nuclear Safety Commission",2025,"OB","4444967.83","85"
"Canadian Nuclear Safety Commission",2025,"AC","1268278.91","5"
"Canadian Nuclear Safety Commission",2025,"TC","313705.19","10"
"Canadian Nuclear Safety Commission",2026,"ST","3748044.25","34"
"Canadian Nuclear Safety Commission",2026,"TN","2446968.97","65"
"Canadian Nuclear Safety Commission",2026,"OB","2181618.88","32"
"Canadian Nuclear Safety Commission",2026,"AC","396432.91","4"
"Canadian Nuclear Safety Commission",2026,"TC","164470.69","5"
"Canadian Radio-television and Telecommunications Commission",2017,"TC","3497748.49","32"
"Canadian Radio-television and Telecommunications Commission",2017,"TN","1398449.93","66"
"Canadian Radio-television and Telecommunications Commission",2017,"OB","315295.95","3"
"Canadian Radio-television and Telecommunications Commission",2017,"AC","35750.00","1"
"Canadian Radio-television and Telecommunications Commission",2018,"TC","7392223.01","50"
"Canadian Radio-television and Telecommunications Commission",2018,"TN","2438268.33","118"
"Canadian Radio-television and Telecommunications Commission",2018,"AC","690841.09","2"
"Canadian Radio-television and Telecommunications Commission",2018,"OB","518284.48","6"
"Canadian Radio-television and Telecommunications Commission",2018,NULL,"67769.18","2"
"Canadian Radio-television and Telecommunications Commission",2019,"TC","9353053.97","28"
"Canadian Radio-television and Telecommunications Commission",2019,"TN","2763338.44","133"
"Canadian Radio-television and Telecommunications Commission",2019,"AC","979499.84","2"
"Canadian Radio-television and Telecommunications Commission",2019,"OB","533748.62","4"
"Canadian Radio-television and Telecommunications Commission",2019,"ST","415313.27","1"
"Canadian Radio-television and Telecommunications Commission",2019,NULL,"7813.73","1"
"Canadian Radio-television and Telecommunications Commission",2020,"TC","10741455.52","42"
"Canadian Radio-television and Telecommunications Commission",2020,"TN","3308217.07","114"
"Canadian Radio-television and Telecommunications Commission",2020,"ST","2816856.77","18"
"Canadian Radio-television and Telecommunications Commission",2020,"AC","816096.22","3"
"Canadian Radio-television and Telecommunications Commission",2020,"OB","457885.25","3"
"Canadian Radio-television and Telecommunications Commission",2021,"TC","8373406.89","47"
"Canadian Radio-television and Telecommunications Commission",2021,"TN","2744366.31","107"
"Canadian Radio-television and Telecommunications Commission",2021,"ST","2691856.77","3"
"Canadian Radio-television and Telecommunications Commission",2021,"OB","1671498.97","6"
"Canadian Radio-television and Telecommunications Commission",2021,"AC","1318605.06","4"
"Canadian Radio-television and Telecommunications Commission",2022,"TC","5182871.61","33"
"Canadian Radio-television and Telecommunications Commission",2022,"TN","2649324.95","106"
"Canadian Radio-television and Telecommunications Commission",2022,"ST","1779245.90","1"
"Canadian Radio-television and Telecommunications Commission",2022,"OB","1508602.38","6"
"Canadian Radio-television and Telecommunications Commission",2022,"AC","927506.78","2"
"Canadian Radio-television and Telecommunications Commission",2023,"TN","2494044.12","83"
"Canadian Radio-television and Telecommunications Commission",2023,"TC","2344329.95","40"
"Canadian Radio-television and Telecommunications Commission",2023,"OB","2343640.49","9"
"Canadian Radio-television and Telecommunications Commission",2023,"ST","1495510.79","24"
"Canadian Radio-television and Telecommunications Commission",2023,"AC","400069.31","2"
"Canadian Radio-television and Telecommunications Commission",2024,"TN","2594570.35","91"
"Canadian Radio-television and Telecommunications Commission",2024,"ST","2470572.23","38"
"Canadian Radio-television and Telecommunications Commission",2024,"OB","2330197.03","8"
"Canadian Radio-television and Telecommunications Commission",2024,"TC","2101256.79","55"
"Canadian Radio-television and Telecommunications Commission",2024,"AC","105333.33","1"
"Canadian Radio-television and Telecommunications Commission",2025,"TN","3636730.63","119"
"Canadian Radio-television and Telecommunications Commission",2025,"TC","2426459.93","47"
"Canadian Radio-television and Telecommunications Commission",2025,"ST","1651199.54","25"
"Canadian Radio-television and Telecommunications Commission",2025,"OB","912518.79","8"
"Canadian Radio-television and Telecommunications Commission",2025,"AC","825556.98","2"
"Canadian Radio-television and Telecommunications Commission",2026,"TN","1570371.41","51"
"Canadian Radio-television and Telecommunications Commission",2026,"OB","861917.79","5"
"Canadian Radio-television and Telecommunications Commission",2026,"AC","841286.58","3"
"Canadian Radio-television and Telecommunications Commission",2026,"TC","724133.04","17"
"Canadian Radio-television and Telecommunications Commission",2026,"ST","689301.11","7"
"Canadian Space Agency",2017,"OB","10876296.07","123"
"Canadian Space Agency",2017,"TN","6884921.69","117"
"Canadian Space Agency",2017,"TC","3746177.36","81"
"Canadian Space Agency",2017,"AC","125971.81","3"
"Canadian Space Agency",2018,"OB","18194991.55","176"
"Canadian Space Agency",2018,"TN","9803247.52","177"
"Canadian Space Agency",2018,"TC","3599642.71","89"
"Canadian Space Agency",2018,"AC","125971.81","1"
"Canadian Space Agency",2019,"OB","33965487.48","218"
"Canadian Space Agency",2019,"TN","14832625.63","193"
"Canadian Space Agency",2019,"TC","3139653.83","85"
"Canadian Space Agency",2019,"AC","216814.08","2"
"Canadian Space Agency",2020,"TN","727562943.68","190"
"Canadian Space Agency",2020,"OB","44171472.38","235"
"Canadian Space Agency",2020,"TC","2455583.02","64"
"Canadian Space Agency",2020,"AC","69932.54","0"
"Canadian Space Agency",2021,"TN","192506139.61","175"
"Canadian Space Agency",2021,"OB","54082467.21","257"
"Canadian Space Agency",2021,"TC","6789859.42","85"
"Canadian Space Agency",2021,"AC","69932.54","0"
"Canadian Space Agency",2021,"ST","41326.16","1"
"Canadian Space Agency",2022,"TN","193516224.74","203"
"Canadian Space Agency",2022,"OB","63026772.88","258"
"Canadian Space Agency",2022,"TC","2765626.36","58"
"Canadian Space Agency",2022,"ST","720436.87","14"
"Canadian Space Agency",2022,"AC","69932.54","0"
"Canadian Space Agency",2023,"TN","191648179.43","235"
"Canadian Space Agency",2023,"OB","69974443.92","268"
"Canadian Space Agency",2023,"TC","2191111.83","25"
"Canadian Space Agency",2023,"ST","1656852.51","28"
"Canadian Space Agency",2023,"AC","119262.69","2"
"Canadian Space Agency",2024,"TN","193553083.05","215"
"Canadian Space Agency",2024,"OB","72508199.00","252"
"Canadian Space Agency",2024,"ST","2198433.03","31"
"Canadian Space Agency",2024,"TC","2064365.79","22"
"Canadian Space Agency",2024,"AC","49330.15","2"
"Canadian Space Agency",2025,"TN","184617936.65","161"
"Canadian Space Agency",2025,"OB","65876284.27","156"
"Canadian Space Agency",2025,"TC","6892683.16","35"
"Canadian Space Agency",2025,"ST","3389612.11","29"
"Canadian Space Agency",2025,"AC","168388.07","5"
"Canadian Space Agency",2026,"TN","179146663.54","72"
"Canadian Space Agency",2026,"OB","27409141.15","41"
"Canadian Space Agency",2026,"TC","3907364.91","19"
"Canadian Space Agency",2026,"ST","2238695.34","13"
"Canadian Space Agency",2026,"AC","119057.92","4"
"Canadian Transportation Agency",2017,"TC","333654.06","26"
"Canadian Transportation Agency",2017,"TN","260569.53","16"
"Canadian Transportation Agency",2018,"TC","1101335.03","39"
"Canadian Transportation Agency",2018,"TN","509111.94","36"
"Canadian Transportation Agency",2018,"OB","106118.26","3"
"Canadian Transportation Agency",2019,"TC","1382450.37","34"
"Canadian Transportation Agency",2019,"TN","624289.45","39"
"Canadian Transportation Agency",2019,"OB","107088.42","3"
"Canadian Transportation Agency",2020,"TC","1125579.50","37"
"Canadian Transportation Agency",2020,"TN","644677.12","47"
"Canadian Transportation Agency",2020,"OB","335377.86","7"
"Canadian Transportation Agency",2021,"TC","1201835.66","34"
"Canadian Transportation Agency",2021,"TN","1185165.03","60"
"Canadian Transportation Agency",2021,"OB","413402.61","7"
"Canadian Transportation Agency",2021,"ST","298640.47","7"
"Canadian Transportation Agency",2022,"TN","1608294.55","61"
"Canadian Transportation Agency",2022,"TC","786711.73","22"
"Canadian Transportation Agency",2022,"ST","589937.94","14"
"Canadian Transportation Agency",2022,"OB","321190.45","2"
"Canadian Transportation Agency",2023,"TN","1573436.08","73"
"Canadian Transportation Agency",2023,"ST","1213773.70","14"
"Canadian Transportation Agency",2023,"TC","730946.89","16"
"Canadian Transportation Agency",2023,"OB","246176.43","3"
"Canadian Transportation Agency",2024,"TN","1476974.86","60"
"Canadian Transportation Agency",2024,"ST","1016211.47","9"
"Canadian Transportation Agency",2024,"TC","839978.76","17"
"Canadian Transportation Agency",2024,"OB","255579.57","3"
"Canadian Transportation Agency",2025,"TC","1011314.58","13"
"Canadian Transportation Agency",2025,"TN","745883.44","40"
"Canadian Transportation Agency",2025,"OB","354661.42","7"
"Canadian Transportation Agency",2025,"ST","216944.96","7"
"Canadian Transportation Agency",2026,"TC","429314.13","4"
"Canadian Transportation Agency",2026,"TN","326170.81","19"
"Canadian Transportation Agency",2026,"OB","198566.19","4"
"Canadian Transportation Agency",2026,"ST","146370.70","5"
"Civilian Review and Complaints Commission for the RCMP",2017,"TC","1063515.46","24"
"Civilian Review and Complaints Commission for the RCMP",2017,"TN","360226.64","18"
"Civilian Review and Complaints Commission for the RCMP",2017,"OB","77597.10","3"
"Civilian Review and Complaints Commission for the RCMP",2018,"TC","1603657.33","27"
"Civilian Review and Complaints Commission for the RCMP",2018,"TN","471871.47","28"
"Civilian Review and Complaints Commission for the RCMP",2019,"TC","876309.33","18"
"Civilian Review and Complaints Commission for the RCMP",2019,"TN","708737.78","30"
"Civilian Review and Complaints Commission for the RCMP",2020,"TC","803017.82","17"
"Civilian Review and Complaints Commission for the RCMP",2020,"TN","591196.73","18"
"Civilian Review and Complaints Commission for the RCMP",2021,"TN","487856.35","22"
"Civilian Review and Complaints Commission for the RCMP",2021,"TC","433723.24","8"
"Civilian Review and Complaints Commission for the RCMP",2022,"TN","447982.93","28"
"Civilian Review and Complaints Commission for the RCMP",2022,"TC","90400.00","2"
"Civilian Review and Complaints Commission for the RCMP",2022,"OB","30373.57","1"
"Civilian Review and Complaints Commission for the RCMP",2023,"TN","1350810.48","55"
"Civilian Review and Complaints Commission for the RCMP",2023,"TC","239527.50","3"
"Civilian Review and Complaints Commission for the RCMP",2023,"OB","30373.57","1"
"Civilian Review and Complaints Commission for the RCMP",2024,"TN","641934.97","39"
"Civilian Review and Complaints Commission for the RCMP",2024,"TC","409087.50","3"
"Civilian Review and Complaints Commission for the RCMP",2024,"ST","71364.32","2"
"Civilian Review and Complaints Commission for the RCMP",2025,"TN","701462.09","36"
"Civilian Review and Complaints Commission for the RCMP",2025,"TC","264828.41","3"
"Civilian Review and Complaints Commission for the RCMP",2025,"ST","260155.09","3"
"Civilian Review and Complaints Commission for the RCMP",2026,"TN","234640.88","16"
"Civilian Review and Complaints Commission for the RCMP",2026,"ST","149490.03","1"
"Civilian Review and Complaints Commission for the RCMP",2026,"TC","111389.09","2"
"Correctional Service of Canada",2017,"OB","136476732.84","2427"
"Correctional Service of Canada",2017,NULL,"64529177.80","312"
"Correctional Service of Canada",2017,"TC","16014540.01","692"
"Correctional Service of Canada",2017,"TN","14347873.74","436"
"Correctional Service of Canada",2017,"AC","13041550.88","200"
"Correctional Service of Canada",2018,"OB","187919608.13","3044"
"Correctional Service of Canada",2018,"TC","41276096.98","1387"
"Correctional Service of Canada",2018,"AC","21590193.21","308"
"Correctional Service of Canada",2018,"TN","20102225.16","643"
"Correctional Service of Canada",2018,NULL,"19173126.97","87"
"Correctional Service of Canada",2019,"OB","184632790.83","2896"
"Correctional Service of Canada",2019,"AC","73047817.98","372"
"Correctional Service of Canada",2019,"TC","34674106.13","1240"
"Correctional Service of Canada",2019,"TN","33246499.87","790"
"Correctional Service of Canada",2019,NULL,"5756623.69","57"
"Correctional Service of Canada",2019,"ST","22166.89","1"
"Correctional Service of Canada",2020,"OB","170909312.81","2827"
"Correctional Service of Canada",2020,"AC","94360027.69","329"
"Correctional Service of Canada",2020,"TN","52343910.21","821"
"Correctional Service of Canada",2020,"TC","29117005.90","976"
"Correctional Service of Canada",2020,NULL,"1704681.02","36"
"Correctional Service of Canada",2020,"ST","304471.01","2"
"Correctional Service of Canada",2021,"OB","197034788.91","3218"
"Correctional Service of Canada",2021,"AC","124164990.76","327"
"Correctional Service of Canada",2021,"TC","41920178.90","1011"
"Correctional Service of Canada",2021,"TN","39465973.58","819"
"Correctional Service of Canada",2021,"ST","17987812.27","11"
"Correctional Service of Canada",2021,NULL,"11841490.19","41"
"Correctional Service of Canada",2022,"OB","240278646.76","3801"
"Correctional Service of Canada",2022,"AC","167668309.02","351"
"Correctional Service of Canada",2022,"TC","51341410.36","1265"
"Correctional Service of Canada",2022,"TN","42345099.11","844"
"Correctional Service of Canada",2022,"ST","21055875.05","30"
"Correctional Service of Canada",2023,"OB","241108668.55","3658"
"Correctional Service of Canada",2023,"AC","155997577.39","349"
"Correctional Service of Canada",2023,"TN","71028458.77","1516"
"Correctional Service of Canada",2023,"TC","54795790.67","1448"
"Correctional Service of Canada",2023,"ST","21794039.97","41"
"Correctional Service of Canada",2024,"OB","222271308.89","2848"
"Correctional Service of Canada",2024,"AC","193942045.87","376"
"Correctional Service of Canada",2024,"TN","87571840.78","1850"
"Correctional Service of Canada",2024,"TC","60216435.66","1265"
"Correctional Service of Canada",2024,"ST","22502995.25","24"
"Correctional Service of Canada",2025,"OB","228948986.85","3132"
"Correctional Service of Canada",2025,"AC","164369997.95","446"
"Correctional Service of Canada",2025,"TN","77580195.93","1583"
"Correctional Service of Canada",2025,"TC","63543684.21","1162"
"Correctional Service of Canada",2025,"ST","23722084.57","17"
"Correctional Service of Canada",2026,"AC","143781132.33","159"
"Correctional Service of Canada",2026,"OB","123596925.14","1241"
"Correctional Service of Canada",2026,"TC","29758460.13","554"
"Correctional Service of Canada",2026,"TN","20046973.87","310"
"Correctional Service of Canada",2026,"ST","6464436.19","7"
"Courts Administration Service",2017,"TC","4457130.90","82"
"Courts Administration Service",2017,"TN","1104219.22","58"
"Courts Administration Service",2017,"ST","314178.62","2"
"Courts Administration Service",2018,"TC","13572240.27","176"
"Courts Administration Service",2018,"TN","1774784.11","101"
"Courts Administration Service",2018,"ST","314178.62","2"
"Courts Administration Service",2018,"AC","48065.50","1"
"Courts Administration Service",2018,"OB","41666.67","1"
"Courts Administration Service",2019,"TC","12649227.68","168"
"Courts Administration Service",2019,"ST","2475582.17","37"
"Courts Administration Service",2019,"TN","2039147.08","157"
"Courts Administration Service",2019,"OB","385065.36","4"
"Courts Administration Service",2019,"AC","161115.45","3"
"Courts Administration Service",2020,"ST","8146446.16","80"
"Courts Administration Service",2020,"TC","5474181.14","94"
"Courts Administration Service",2020,"TN","3779006.28","169"
"Courts Administration Service",2020,"OB","640664.08","6"
"Courts Administration Service",2020,"AC","162465.04","2"
"Courts Administration Service",2021,"ST","12961627.48","198"
"Courts Administration Service",2021,"TN","3289476.19","161"
"Courts Administration Service",2021,"TC","930167.30","30"
"Courts Administration Service",2021,"OB","869448.89","5"
"Courts Administration Service",2021,"AC","162465.04","1"
"Courts Administration Service",2022,"ST","17152181.28","238"
"Courts Administration Service",2022,"TN","4172850.32","162"
"Courts Administration Service",2022,"OB","2298770.46","3"
"Courts Administration Service",2022,"TC","559245.37","16"
"Courts Administration Service",2022,"AC","287472.41","2"
"Courts Administration Service",2023,"ST","17546317.23","213"
"Courts Administration Service",2023,"OB","4725641.49","7"
"Courts Administration Service",2023,"TN","3436464.92","185"
"Courts Administration Service",2023,"TC","433735.04","11"
"Courts Administration Service",2023,"AC","408862.36","2"
"Courts Administration Service",2024,"ST","15119571.32","166"
"Courts Administration Service",2024,"TN","3880777.78","184"
"Courts Administration Service",2024,"OB","2799619.52","5"
"Courts Administration Service",2024,"TC","1080988.61","16"
"Courts Administration Service",2024,"AC","699757.04","1"
"Courts Administration Service",2025,"ST","12145395.43","151"
"Courts Administration Service",2025,"OB","2875584.87","4"
"Courts Administration Service",2025,"TN","2578514.82","138"
"Courts Administration Service",2025,"TC","1811287.69","30"
"Courts Administration Service",2025,"AC","758871.63","2"
"Courts Administration Service",2026,"ST","5594937.17","60"
"Courts Administration Service",2026,"TC","1571377.88","22"
"Courts Administration Service",2026,"TN","919105.30","71"
"Courts Administration Service",2026,"OB","334301.84","3"
"Courts Administration Service",2026,"AC","218554.48","1"
"Crown-Indigenous Relations and Northern Affairs Canada",2017,"TC","22351852.19","341"
"Crown-Indigenous Relations and Northern Affairs Canada",2017,"OB","18700403.68","127"
"Crown-Indigenous Relations and Northern Affairs Canada",2017,"TN","13495353.38","376"
"Crown-Indigenous Relations and Northern Affairs Canada",2018,"TC","28824987.97","404"
"Crown-Indigenous Relations and Northern Affairs Canada",2018,"TN","19321288.66","465"
"Crown-Indigenous Relations and Northern Affairs Canada",2018,"OB","10125264.67","70"
"Crown-Indigenous Relations and Northern Affairs Canada",2019,"TC","30690172.69","441"
"Crown-Indigenous Relations and Northern Affairs Canada",2019,"TN","15059888.36","407"
"Crown-Indigenous Relations and Northern Affairs Canada",2019,"OB","7905711.69","38"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"TC","21557058.49","333"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"TN","11497445.92","311"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"OB","9300321.27","60"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"AC","312721.30","4"
"Crown-Indigenous Relations and Northern Affairs Canada",2020,"ST","39506.25","1"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"TC","14780232.16","253"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"OB","12862556.68","82"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"TN","8196066.47","249"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"AC","189985.55","3"
"Crown-Indigenous Relations and Northern Affairs Canada",2021,"ST","152286.90","4"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"TC","13509573.36","189"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"TN","10871181.70","209"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"OB","8954344.79","53"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"ST","529492.03","9"
"Crown-Indigenous Relations and Northern Affairs Canada",2022,"AC","64188.88","0"
"Crown-Indigenous Relations and Northern Affairs Canada",2023,"TC","12887982.53","160"
"Crown-Indigenous Relations and Northern Affairs Canada",2023,"OB","11130477.83","125"
"Crown-Indigenous Relations and Northern Affairs Canada",2023,"TN","8600779.60","217"
"Crown-Indigenous Relations and Northern Affairs Canada",2023,"ST","609701.65","7"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"OB","16470451.92","246"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"TN","7496123.36","186"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"TC","6722031.33","70"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"AC","750000.00","1"
"Crown-Indigenous Relations and Northern Affairs Canada",2024,"ST","224131.45","4"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"OB","26572469.67","318"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"TN","6476892.23","164"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"AC","1779375.46","2"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"TC","1418940.46","19"
"Crown-Indigenous Relations and Northern Affairs Canada",2025,"ST","155627.10","3"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"OB","18502480.99","155"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"TN","4616866.85","84"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"AC","1779375.46","2"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"TC","591221.17","6"
"Crown-Indigenous Relations and Northern Affairs Canada",2026,"ST","62531.25","0"
"Department of Finance Canada",2017,"TC","5113545.94","37"
"Department of Finance Canada",2017,"OB","3324828.03","7"
"Department of Finance Canada",2017,"TN","2572060.73","71"
"Department of Finance Canada",2017,"AC","198270.76","2"
"Department of Finance Canada",2018,"TC","6227972.61","39"
"Department of Finance Canada",2018,"OB","4463167.62","5"
"Department of Finance Canada",2018,"TN","3953120.31","117"
"Department of Finance Canada",2018,"AC","343082.18","4"
"Department of Finance Canada",2019,"OB","5754737.09","5"
"Department of Finance Canada",2019,"TC","5402139.36","43"
"Department of Finance Canada",2019,"TN","3766838.40","116"
"Department of Finance Canada",2019,"AC","172317.66","2"
"Department of Finance Canada",2020,"OB","17189636.83","4"
"Department of Finance Canada",2020,"TC","4342326.78","42"
"Department of Finance Canada",2020,"TN","4048964.12","126"
"Department of Finance Canada",2020,"AC","239104.19","0"
"Department of Finance Canada",2021,"OB","48579225.21","8"
"Department of Finance Canada",2021,"TC","5589677.89","36"
"Department of Finance Canada",2021,"TN","3894411.82","121"
"Department of Finance Canada",2021,"AC","461506.98","1"
"Department of Finance Canada",2021,"ST","129006.45","1"
"Department of Finance Canada",2022,"OB","14312331.50","5"
"Department of Finance Canada",2022,"TN","5325277.46","151"
"Department of Finance Canada",2022,"ST","1852278.47","17"
"Department of Finance Canada",2022,"TC","917939.10","15"
"Department of Finance Canada",2022,"AC","75465.07","2"
"Department of Finance Canada",2023,"TN","6597521.86","153"
"Department of Finance Canada",2023,"OB","4615796.28","4"
"Department of Finance Canada",2023,"ST","4474291.28","35"
"Department of Finance Canada",2023,"TC","581199.65","11"
"Department of Finance Canada",2023,"AC","61003.76","1"
"Department of Finance Canada",2024,"TN","6168350.87","135"
"Department of Finance Canada",2024,"ST","4023726.17","26"
"Department of Finance Canada",2024,"OB","3784476.41","4"
"Department of Finance Canada",2024,"TC","141338.08","5"
"Department of Finance Canada",2024,"AC","42714.00","1"
"Department of Finance Canada",2025,"TN","7066488.91","127"
"Department of Finance Canada",2025,"OB","2686634.70","3"
"Department of Finance Canada",2025,"ST","2238640.24","22"
"Department of Finance Canada",2025,"TC","1235555.50","9"
"Department of Finance Canada",2026,"TN","3810301.39","46"
"Department of Finance Canada",2026,"OB","1418825.18","1"
"Department of Finance Canada",2026,"TC","954281.73","4"
"Department of Finance Canada",2026,"ST","851171.52","8"
"Department of Housing, Infrastructure and Communities",2017,"TC","4949581.08","60"
"Department of Housing, Infrastructure and Communities",2017,"OB","3315944.76","13"
"Department of Housing, Infrastructure and Communities",2017,"TN","807348.90","37"
"Department of Housing, Infrastructure and Communities",2018,"OB","4822249942.73","24"
"Department of Housing, Infrastructure and Communities",2018,"TC","6879845.32","95"
"Department of Housing, Infrastructure and Communities",2018,"TN","1211780.19","56"
"Department of Housing, Infrastructure and Communities",2018,"ST","285937.73","2"
"Department of Housing, Infrastructure and Communities",2018,"AC","8475.00","0"
"Department of Housing, Infrastructure and Communities",2019,"OB","10361055.37","23"
"Department of Housing, Infrastructure and Communities",2019,"TC","6105271.99","88"
"Department of Housing, Infrastructure and Communities",2019,"TN","2381097.47","56"
"Department of Housing, Infrastructure and Communities",2019,"ST","714618.60","2"
"Department of Housing, Infrastructure and Communities",2019,"AC","71487.88","2"
"Department of Housing, Infrastructure and Communities",2020,"TC","3883697.92","78"
"Department of Housing, Infrastructure and Communities",2020,"OB","3814941.29","33"
"Department of Housing, Infrastructure and Communities",2020,"TN","2175620.37","33"
"Department of Housing, Infrastructure and Communities",2020,"ST","904311.70","3"
"Department of Housing, Infrastructure and Communities",2020,"AC","135034.13","4"
"Department of Housing, Infrastructure and Communities",2021,"OB","5075013.36","31"
"Department of Housing, Infrastructure and Communities",2021,"ST","4764065.13","48"
"Department of Housing, Infrastructure and Communities",2021,"TC","4184761.51","72"
"Department of Housing, Infrastructure and Communities",2021,"TN","1979029.63","28"
"Department of Housing, Infrastructure and Communities",2021,"AC","135034.13","1"
"Department of Housing, Infrastructure and Communities",2022,"ST","9055933.12","75"
"Department of Housing, Infrastructure and Communities",2022,"OB","5731650.41","24"
"Department of Housing, Infrastructure and Communities",2022,"TC","2416078.10","51"
"Department of Housing, Infrastructure and Communities",2022,"TN","2054335.66","47"
"Department of Housing, Infrastructure and Communities",2022,"AC","276893.18","2"
"Department of Housing, Infrastructure and Communities",2023,"OB","9353362.85","22"
"Department of Housing, Infrastructure and Communities",2023,"ST","8987324.86","77"
"Department of Housing, Infrastructure and Communities",2023,"TC","2358274.38","38"
"Department of Housing, Infrastructure and Communities",2023,"TN","2214448.59","47"
"Department of Housing, Infrastructure and Communities",2023,"AC","272672.79","2"
"Department of Housing, Infrastructure and Communities",2024,"ST","10565699.72","77"
"Department of Housing, Infrastructure and Communities",2024,"OB","9164526.89","17"
"Department of Housing, Infrastructure and Communities",2024,"TN","2911247.47","40"
"Department of Housing, Infrastructure and Communities",2024,"TC","1595659.37","33"
"Department of Housing, Infrastructure and Communities",2024,"AC","145812.79","1"
"Department of Housing, Infrastructure and Communities",2025,"ST","18875044.41","100"
"Department of Housing, Infrastructure and Communities",2025,"OB","7811968.76","9"
"Department of Housing, Infrastructure and Communities",2025,"TN","2972776.36","48"
"Department of Housing, Infrastructure and Communities",2025,"TC","1267867.39","21"
"Department of Housing, Infrastructure and Communities",2025,"AC","176294.54","2"
"Department of Housing, Infrastructure and Communities",2026,"ST","8127352.59","47"
"Department of Housing, Infrastructure and Communities",2026,"OB","5282405.28","3"
"Department of Housing, Infrastructure and Communities",2026,"TN","1375170.31","21"
"Department of Housing, Infrastructure and Communities",2026,"TC","651905.02","4"
"Department of Housing, Infrastructure and Communities",2026,"AC","118795.49","2"
"Department of Justice Canada",2017,"OB","11047790.04","157"
"Department of Justice Canada",2017,"TC","9677176.07","149"
"Department of Justice Canada",2017,"AC","9391071.44","1"
"Department of Justice Canada",2017,"TN","3176070.40","96"
"Department of Justice Canada",2017,"ST","71364.34","1"
"Department of Justice Canada",2018,"OB","10461900.31","220"
"Department of Justice Canada",2018,"TC","9413345.48","234"
"Department of Justice Canada",2018,"TN","7648624.50","174"
"Department of Justice Canada",2018,"ST","243019.44","2"
"Department of Justice Canada",2018,"AC","19740.00","2"
"Department of Justice Canada",2019,"OB","11779307.75","252"
"Department of Justice Canada",2019,"TC","10755618.86","203"
"Department of Justice Canada",2019,"TN","7066933.81","193"
"Department of Justice Canada",2019,"AC","1798753.23","3"
"Department of Justice Canada",2019,"ST","1729062.31","8"
"Department of Justice Canada",2020,"OB","11959670.46","251"
"Department of Justice Canada",2020,"TN","7941381.23","243"
"Department of Justice Canada",2020,"TC","4592454.42","106"
"Department of Justice Canada",2020,"ST","2130197.24","10"
"Department of Justice Canada",2020,"AC","1844218.98","2"
